,name,type,wikipedia,abbrev,geometry
269,Sharm el-Sheikh Int'l,mid,http://en.wikipedia.org/wiki/Sharm_el-Sheikh_International_Airport,SSH,POINT (34.39011892672875 27.980404419916844)
270,Taba Int'l,mid,http://en.wikipedia.org/wiki/Taba_International_Airport,TCP,POINT (34.775837899677896 29.594499056801894)
271,Agra,major and military,http://en.wikipedia.org/wiki/Agra_Airport,AGR,POINT (77.96090917650903 27.157727734749972)
272,Vadodara,mid,http://en.wikipedia.org/wiki/Vadodara_Airport,BDQ,POINT (73.2262889533239 22.33616400211708)
273,Shahid Ashrafi Esfahani,mid,http://en.wikipedia.org/wiki/Shahid_Ashrafi_Esfahani_Airport,KSH,POINT (47.156583516563856 34.34641677391081)
274,Benina Int'l,mid,http://en.wikipedia.org/wiki/Benina_International_Airport,BEN,POINT (20.268039801851568 32.08727746065531)
275,King Abdulaziz AB,military major,http://en.wikipedia.org/wiki/Dhahran_International_Airport,DHA,POINT (50.1477245727844 26.270368085476772)
276,Nueva Hespérides Int'l,mid,http://en.wikipedia.org/wiki/Nueva_Hesperides_International_Airport,STY,POINT (-57.98408211764924 -31.437388338779797)
277,Baikonur Cosmodrome,spaceport,http://en.wikipedia.org/wiki/Baikonur_Cosmodrome,BAIK,POINT (63.30735442387505 45.963573940312365)
278,Kennedy Space Center,spaceport,http://en.wikipedia.org/wiki/John_F._Kennedy_Space_Center,KSC,POINT (-80.6369680911892 28.516370477202706)
279,Centre Spatial Guyanais,spaceport,http://en.wikipedia.org/wiki/Guiana_Space_Centre,CSG,POINT (-52.76842968934524 5.239410012580352)
280,Queen Beatrix Int'l,mid,http://en.wikipedia.org/wiki/Queen_Beatrix_International_Airport,AUA,POINT (-70.00762285634964 12.503464363029721)
281,Djibouti-Ambouli Int'l,mid,http://en.wikipedia.org/wiki/Djibouti-Ambouli_International_Airport,JIB,POINT (43.149712785995575 11.552101823017216)
282,Diego Aracena Int'l,mid and military,http://en.wikipedia.org/wiki/Diego_Aracena_International_Airport,IQQ,POINT (-70.17863539553298 -20.547840087830867)
283,Sabiha Gökçen Havaalani,major,http://en.wikipedia.org/wiki/Sabiha_G%C3%B6k%C3%A7en_International_Airport,SAW,POINT (29.309599142388944 40.90430035539573)
284,Kosrae Island,mid,http://en.wikipedia.org/wiki/Kosrae_International_Airport,KSA,POINT (162.95704122507613 5.352009857182798)
285,Funafuti Int'l,mid,http://en.wikipedia.org/wiki/Funafuti_International_Airport,FUN,POINT (179.19544202302 -8.52485415059424)
286,Dr. Babasaheb Ambedkar Int'l,mid,http://en.wikipedia.org/wiki/Dr._Babasaheb_Ambedkar_International_Airport,NAG,POINT (79.0537976421986 21.089931763008746)
287,Phuket Int'l,mid,http://en.wikipedia.org/wiki/Phuket_International_Airport,HKT,POINT (98.30603849005591 8.107684759527347)
288,Nadi Int'l,mid,http://en.wikipedia.org/wiki/Nadi_International_Airport,NAN,POINT (177.45115119805948 -17.752912947979222)
