osm_id,code,fclass,name,x,y
"727286664","2564",car_wash,,21.458,42.466
"727288038","2301",restaurant,Parajsa,21.454,42.468
"727433260","2251",sports_centre,Fusha Sportive Allianz Arena,21.180,42.642
"728081509","2402",motel,VIP Motel,21.460,42.446
"728086988","2402",motel,White,21.459,42.444
"728863982","2731",castle,Kalaja e Novo Bërdës,21.417,42.615
"728863983","2733",archaeological,,21.417,42.614
"728863985","2733",archaeological,Kisha Shën Nikolas,21.420,42.616
"728863985","2721",attraction,Kisha Shën Nikolas,21.420,42.616
"728863986","2950",tower,,21.417,42.614
"728863987","2733",archaeological,,21.418,42.615
"728863989","2301",restaurant,Restaurant Kalaja,21.418,42.616
"728863994","2303",cafe,,21.419,42.616
"728864026","2252",pitch,,21.437,42.610
"728868111","2002",fire_station,,21.425,42.603
"728868113","2251",sports_centre,,21.427,42.601
"728982820","2564",car_wash,,21.469,42.457
"728996177","2252",pitch,,21.463,42.452
"728996191","2564",car_wash,,21.461,42.448
"729101194","2543",doityourself,Kastro,21.493,42.480
"729101195","2111",clinic,Swiss Clinic,21.493,42.480
"729173000","2253",swimming_pool,,20.816,42.715
"729173002","2252",pitch,,20.822,42.725
"729173006","2252",pitch,,20.819,42.732
"729173008","2252",pitch,,20.796,42.743
"729175455","2110",hospital,QKMF- Qendër Krysore e Mjeksisë Familjare,20.787,42.747
"729175458","2404",guesthouse,Xhamia e Çabrës,20.772,42.903
"729178397","2252",pitch,,21.090,42.718
"729178398","2252",pitch,,21.090,42.718
"729178399","2252",pitch,,21.090,42.718
"729402125","2008",town_hall,Komuna e Deçanit,20.288,42.540
"729402126","2009",courthouse,Gjykata Themelore e Pejës - Dega Deçan,20.287,42.540
"729516113","2005",post_office,PTK,21.578,42.582
"729516116","2009",courthouse,Gjykata,21.577,42.582
